date,country,soe,arrivals,arrivals_male,arrivals_female,latitude,longitude
1/1/2020,ABW,Kedah,0,0,0,6.1184,100.3685
1/1/2020,ABW,Pulau Pinang,0,0,0,5.4164,100.3327
1/1/2020,AFG,Johor,2,0,2,1.4927,103.7414
1/1/2020,AFG,Kedah,1,1,0,6.1184,100.3685
1/1/2020,AFG,Perlis,0,0,0,6.4448,100.2048
1/1/2020,AFG,Pulau Pinang,0,0,0,5.4164,100.3327
1/1/2020,AFG,Sarawak,0,0,0,1.5533,110.3592
1/1/2020,AFG,Selangor,180,161,19,3.0738,101.5183
1/1/2020,AGO,Johor,0,0,0,1.4927,103.7414
1/1/2020,AGO,Kedah,0,0,0,6.1184,100.3685
1/1/2020,AGO,Sabah,0,0,0,5.9788,116.0753
1/1/2020,AGO,Selangor,9,6,3,3.0738,101.5183
1/1/2020,AIA,Selangor,0,0,0,3.0738,101.5183
1/1/2020,ALB,Johor,35,17,18,1.4927,103.7414
1/1/2020,ALB,Kedah,6,4,2,6.1184,100.3685
1/1/2020,ALB,Perak,1,1,0,4.5921,101.0901
1/1/2020,ALB,Perlis,1,1,0,6.4448,100.2048
1/1/2020,ALB,Pulau Pinang,2,0,2,5.4164,100.3327
1/1/2020,ALB,Sabah,1,1,0,5.9788,116.0753
1/1/2020,ALB,Sarawak,1,1,0,1.5533,110.3592
1/1/2020,ALB,Selangor,62,31,31,3.0738,101.5183
1/1/2020,AND,Johor,0,0,0,1.4927,103.7414
1/1/2020,AND,Kedah,0,0,0,6.1184,100.3685
1/1/2020,AND,Perlis,0,0,0,6.4448,100.2048
1/1/2020,AND,Pulau Pinang,0,0,0,5.4164,100.3327
1/1/2020,AND,Selangor,5,3,2,3.0738,101.5183
1/1/2020,ANT,Selangor,0,0,0,3.0738,101.5183
1/1/2020,ARE,Johor,22,14,8,1.4927,103.7414
1/1/2020,ARE,Kedah,4,3,1,6.1184,100.3685
1/1/2020,ARE,Kelantan,0,0,0,5.2853,102.0594
1/1/2020,ARE,Perak,0,0,0,4.5921,101.0901
1/1/2020,ARE,Perlis,0,0,0,6.4448,100.2048
1/1/2020,ARE,Pulau Pinang,4,3,1,5.4164,100.3327
1/1/2020,ARE,Sabah,0,0,0,5.9788,116.0753
1/1/2020,ARE,Sarawak,0,0,0,1.5533,110.3592
1/1/2020,ARE,Selangor,371,252,119,3.0738,101.5183
1/1/2020,ARG,Johor,221,133,88,1.4927,103.7414
1/1/2020,ARG,Kedah,304,148,156,6.1184,100.3685
1/1/2020,ARG,Kelantan,5,2,3,5.2853,102.0594
1/1/2020,ARG,Melaka,0,0,0,2.1896,102.2501
1/1/2020,ARG,Perak,0,0,0,4.5921,101.0901
1/1/2020,ARG,Perlis,20,11,9,6.4448,100.2048
1/1/2020,ARG,Pulau Pinang,5,2,3,5.4164,100.3327
1/1/2020,ARG,Sabah,3,1,2,5.9788,116.0753
1/1/2020,ARG,Sarawak,1,1,0,1.5533,110.3592
1/1/2020,ARG,Selangor,908,464,444,3.0738,101.5183
1/1/2020,ARG,W.P. Labuan,0,0,0,5.2831,115.2308
1/1/2020,ARM,Johor,5,2,3,1.4927,103.7414
1/1/2020,ARM,Kedah,3,1,2,6.1184,100.3685
1/1/2020,ARM,Kelantan,1,1,0,5.2853,102.0594
1/1/2020,ARM,Perak,2,0,2,4.5921,101.0901
1/1/2020,ARM,Perlis,0,0,0,6.4448,100.2048
1/1/2020,ARM,Pulau Pinang,1,1,0,5.4164,100.3327
1/1/2020,ARM,Sabah,0,0,0,5.9788,116.0753
1/1/2020,ARM,Sarawak,0,0,0,1.5533,110.3592
1/1/2020,ARM,Selangor,79,22,57,3.0738,101.5183
1/1/2020,ATA,Selangor,0,0,0,3.0738,101.5183
1/1/2020,ATG,Johor,6,3,3,1.4927,103.7414
1/1/2020,ATG,Kedah,0,0,0,6.1184,100.3685
1/1/2020,ATG,Pulau Pinang,0,0,0,5.4164,100.3327
1/1/2020,ATG,Sarawak,0,0,0,1.5533,110.3592
1/1/2020,ATG,Selangor,22,12,10,3.0738,101.5183
1/1/2020,AUS,Johor,8923,4980,3943,1.4927,103.7414
1/1/2020,AUS,Kedah,1138,636,502,6.1184,100.3685
1/1/2020,AUS,Kelantan,21,15,6,5.2853,102.0594
1/1/2020,AUS,Melaka,10,7,3,2.1896,102.2501
1/1/2020,AUS,Negeri Sembilan,0,0,0,2.7258,101.9424
1/1/2020,AUS,Pahang,52,23,29,3.8126,103.3256
1/1/2020,AUS,Perak,282,156,126,4.5921,101.0901
1/1/2020,AUS,Perlis,115,64,51,6.4448,100.2048
1/1/2020,AUS,Pulau Pinang,2617,1339,1278,5.4164,100.3327
1/1/2020,AUS,Sabah,908,464,444,5.9788,116.0753
1/1/2020,AUS,Sarawak,956,535,421,1.5533,110.3592
